,model prediction,sex,residence,year_of_birth,language population,village population,mother tongue,elevation,pred
152,direct,ж,Uragi,1922.0,10426.0,305.0,сирхинский даргинский,1538.4582519531198,1.105187892147397
153,direct,ж,Uri,1922.0,31987.0,311.0,лакский,1666.2683105468802,0.5644254705973819
154,direct,ж,Urtsaki,1922.0,10426.0,504.0,сирхинский даргинский,1488.6706542968802,1.0638661310902209
155,direct,ж,Zilo,1922.0,4984.0,510.0,андийский,1202.365234375,1.2598338164094502
156,direct,м,Balkhar,1922.0,31987.0,1195.0,лакский,1658.48388671875,0.6495115955810069
157,direct,м,Bezhta,1922.0,1270.0,1058.0,бежтинский,1633.0812988281302,0.8959062889230931
158,direct,м,Burkikhan,1922.0,7886.0,780.0,агульский,1917.4191894531305,1.5458061413243291
159,direct,м,Chabanmakhi,1922.0,3723.0,179.0,кадарский даргинский,1020.0406494140601,1.5728787711010372
160,direct,м,Chankurbe,1922.0,3723.0,663.6779661016949,кадарский даргинский,882.737670898437,1.1621049906905072
161,direct,м,Chirag,1922.0,26628.78333333333,663.6779661016949,чирагский даргинский,2223.19091796875,1.7896612162249237
162,direct,м,Chuni,1922.0,117613.0,342.0,аварский,1375.91101074219,2.563654364912472
163,direct,м,Darvag,1922.0,16786.0,1223.0,азербайджанский,355.02688598632795,0.6101524770591928
164,direct,м,Dorgeli,1922.0,47605.0,3162.0,кумыкский,667.396423339844,0.8062256909325108
165,direct,м,Durangi,1922.0,117613.0,345.0,аварский,1040.05541992188,0.7420022140524678
166,direct,м,Dyubek,1922.0,24826.0,1041.0,табасаранский,450.744720458984,0.9921102489450744
167,direct,м,Dzhavgat,1922.0,13236.0,579.0,кайтагский даргинский,365.503295898437,1.9944731312476909
168,direct,м,Ersi,1922.0,16786.0,1197.0,азербайджанский,407.0,0.5815656908180304
169,direct,м,Fiy,1922.0,1096.0,916.0,гдымско-фийский лезгинский,1927.37268066406,1.1034896307242283
170,direct,м,Gdym,1922.0,1096.0,180.0,гдымско-фийский лезгинский,2026.662841796869,1.030826297659587
171,direct,м,Gelmets,1922.0,3319.0,403.0,цахурский,1750.0,1.1634278284613302
172,direct,м,Hinuq,1922.0,150.0,150.0,гинухский,1941.0,1.7309416850066766
173,direct,м,Ikhrek,1922.0,8229.0,1456.0,рутульский,1792.92919921875,1.1183757437545558
174,direct,м,Karata,1922.0,4336.0,1262.0,каратинский,1463.62890625,1.2327420027958655
175,direct,м,Khlyut,1922.0,63939.0,787.0,лезгинский,1217.13757324219,0.8044177916687658
176,direct,м,Khnov,1922.0,3792.0,1467.0,хновский рутульский,1836.39538574219,1.7681786324641011
177,direct,м,Khpyuk,1922.0,7886.0,397.0,агульский,2186.0732421875,1.775803210149436
178,direct,м,Kiche,1922.0,8229.0,188.0,рутульский,1291.65612792969,1.917047158070584
179,direct,м,Kidero,1922.0,2980.0,283.0,цезский,1900.54162597656,0.9275788851616944
180,direct,м,Kina,1922.0,8229.0,196.0,рутульский,1573.32702636719,1.2612413207342483
181,direct,м,Kizhani,1922.0,117613.0,309.0,аварский,1515.361328125,0.6559790954967801
182,direct,м,Kubachi,1922.0,3502.0,1733.0,кубачинский даргинский,1636.75378417969,0.8456962523691908
183,direct,м,Kuli,1922.0,31987.0,2430.0,лакский,1955.77087402344,0.7837742244041567
184,direct,м,Kuli,1922.0,31987.0,2430.0,лакский,1955.77087402344,0.7837742244041567
185,direct,м,Kurdul,1922.0,3319.0,205.0,цахурский,1880.81872558594,1.229005714596564
186,direct,м,Mallakent,1922.0,15872.0,125.0,муиринский даргинский,491.374847412109,1.1514020647887333
187,direct,м,Megeb,1922.0,710.0,710.0,мегебский,1712.15393066406,0.8314871881885799
188,direct,м,Mikik,1922.0,3319.0,258.0,цахурский,1640.0,1.2718998932526902
189,direct,м,Mukar,1922.0,31987.0,249.0,лакский,1667.02294921875,0.5708054850929115
190,direct,м,Obokh,1922.0,117613.0,408.0,аварский,1765.45129394531,0.7292198645911405
191,direct,м,Richa,1922.0,7886.0,885.0,агульский,2053.85205078125,1.3072812453373628
192,direct,м,Rikvani,1922.0,4984.0,836.0,андийский,1874.55419921875,1.2414651551546578
193,direct,м,Rutul,1922.0,8229.0,1769.0,рутульский,1342.49267578125,1.73820316154984
194,direct,м,Shangoda,1922.0,117613.0,175.0,аварский,1504.90002441406,0.9403466186098676
195,direct,м,Shukty,1922.0,1633.0,653.0,гапшиминский даргинский,1663.48840332031,0.17935378212130446
196,direct,м,Sutbuk,1922.0,10426.0,327.0,сирхинский даргинский,1365.90209960938,1.105187892147397
197,direct,м,Tad-Magitl,1922.0,2902.0,295.0,ахвахский,1457.0,0.7774945171936554
198,direct,м,Tlibisho,1922.0,3052.0,250.0,багвалинский,1667.69287109375,0.8385841699702478
199,direct,м,Tsukhta,1922.0,50241.0,273.0,акушинский даргинский,1452.47998046875,0.4435695303742429
200,direct,м,Tsulikana,1922.0,31987.0,272.0,лакский,1746.52551269531,0.7742149230209988
201,direct,м,Tukita,1922.0,127.0,127.0,тукитинский,1939.52868652344,0.7623259172561953
202,direct,м,Tukita,1922.0,127.0,127.0,тукитинский,1939.52868652344,0.7623259172561953
203,direct,м,Upper Ubekimakhi,1922.0,14258.0,411.0,цудахарский даргинский,1246.0,1.3840723525050849
204,direct,м,Uragi,1922.0,10426.0,305.0,сирхинский даргинский,1538.4582519531198,1.105187892147397
205,direct,м,Uri,1922.0,31987.0,311.0,лакский,1666.2683105468802,0.5644254705973819
206,direct,м,Urtsaki,1922.0,10426.0,504.0,сирхинский даргинский,1488.6706542968802,1.0638661310902209
207,direct,м,Zilo,1922.0,4984.0,510.0,андийский,1202.365234375,1.2598338164094502
208,indirect,ж,Balkhar,1923.0,31987.0,1195.0,лакский,1658.48388671875,0.4525738806572531
209,indirect,ж,Bezhta,1923.0,1270.0,1058.0,бежтинский,1633.0812988281302,1.8290892163573798
210,indirect,ж,Burkikhan,1923.0,7886.0,780.0,агульский,1917.4191894531305,1.2764977557958574
211,indirect,ж,Chabanmakhi,1923.0,3723.0,179.0,кадарский даргинский,1020.0406494140601,1.4975341539679734
212,indirect,ж,Chankurbe,1923.0,3723.0,663.6779661016949,кадарский даргинский,882.737670898437,0.8478516298835355
213,indirect,ж,Chirag,1923.0,26628.78333333333,663.6779661016949,чирагский даргинский,2223.19091796875,1.179399426540857
214,indirect,ж,Chuni,1923.0,117613.0,342.0,аварский,1375.91101074219,2.0849278032963072
215,indirect,ж,Darvag,1923.0,16786.0,1223.0,азербайджанский,355.02688598632795,0.05337167449710697
216,indirect,ж,Dorgeli,1923.0,47605.0,3162.0,кумыкский,667.396423339844,0.1121014661280504
217,indirect,ж,Durangi,1923.0,117613.0,345.0,аварский,1040.05541992188,0.2287782040139569
218,indirect,ж,Dyubek,1923.0,24826.0,1041.0,табасаранский,450.744720458984,0.8571098470848966
219,indirect,ж,Dzhavgat,1923.0,13236.0,579.0,кайтагский даргинский,365.503295898437,1.247722205659813
220,indirect,ж,Ersi,1923.0,16786.0,1197.0,азербайджанский,407.0,0.15148040113938244
221,indirect,ж,Fiy,1923.0,1096.0,916.0,гдымско-фийский лезгинский,1927.37268066406,0.4890333235096804
222,indirect,ж,Gdym,1923.0,1096.0,180.0,гдымско-фийский лезгинский,2026.662841796869,1.0858706400576053
223,indirect,ж,Gelmets,1923.0,3319.0,403.0,цахурский,1750.0,1.1566876891757552
224,indirect,ж,Hinuq,1923.0,150.0,150.0,гинухский,1941.0,3.0505832256658363
225,indirect,ж,Ikhrek,1923.0,8229.0,1456.0,рутульский,1792.92919921875,1.1047906293905816
226,indirect,ж,Karata,1923.0,4336.0,1262.0,каратинский,1463.62890625,1.0680914178689365
227,indirect,ж,Khlyut,1923.0,63939.0,787.0,лезгинский,1217.13757324219,0.485651642570889
228,indirect,ж,Khnov,1923.0,3792.0,1467.0,хновский рутульский,1836.39538574219,1.380547167045908
229,indirect,ж,Khpyuk,1923.0,7886.0,397.0,агульский,2186.0732421875,1.5876273457618433
230,indirect,ж,Kiche,1923.0,8229.0,188.0,рутульский,1291.65612792969,1.5409029237908605
231,indirect,ж,Kidero,1923.0,2980.0,283.0,цезский,1900.54162597656,1.1617409233229825
232,indirect,ж,Kina,1923.0,8229.0,196.0,рутульский,1573.32702636719,1.8178204099953128
233,indirect,ж,Kizhani,1923.0,117613.0,309.0,аварский,1515.361328125,0.3874829537082258
234,indirect,ж,Kubachi,1923.0,3502.0,1733.0,кубачинский даргинский,1636.75378417969,0.5152967920655531
235,indirect,ж,Kuli,1923.0,31987.0,2430.0,лакский,1955.77087402344,0.28169528625986995
236,indirect,ж,Kuli,1923.0,31987.0,2430.0,лакский,1955.77087402344,0.28169528625986995
237,indirect,ж,Kurdul,1923.0,3319.0,205.0,цахурский,1880.81872558594,0.9937009084851184
238,indirect,ж,Mallakent,1923.0,15872.0,125.0,муиринский даргинский,491.374847412109,0.930923345141178
239,indirect,ж,Megeb,1923.0,710.0,710.0,мегебский,1712.15393066406,1.2831996290347938
240,indirect,ж,Mikik,1923.0,3319.0,258.0,цахурский,1640.0,1.2131422535523426
241,indirect,ж,Mukar,1923.0,31987.0,249.0,лакский,1667.02294921875,0.260290842062026
242,indirect,ж,Obokh,1923.0,117613.0,408.0,аварский,1765.45129394531,0.6583040492233114
243,indirect,ж,Richa,1923.0,7886.0,885.0,агульский,2053.85205078125,1.2255816442428484
244,indirect,ж,Rikvani,1923.0,4984.0,836.0,андийский,1874.55419921875,1.2332484904986014
245,indirect,ж,Rutul,1923.0,8229.0,1769.0,рутульский,1342.49267578125,1.5997269737920368
246,indirect,ж,Shangoda,1923.0,117613.0,175.0,аварский,1504.90002441406,0.5564637702750496
247,indirect,ж,Shukty,1923.0,1633.0,653.0,гапшиминский даргинский,1663.48840332031,0.1251079387445073
248,indirect,ж,Sutbuk,1923.0,10426.0,327.0,сирхинский даргинский,1365.90209960938,1.0371500308098716
249,indirect,ж,Tad-Magitl,1923.0,2902.0,295.0,ахвахский,1457.0,1.2140637796579599
250,indirect,ж,Tlibisho,1923.0,3052.0,250.0,багвалинский,1667.69287109375,1.2606681548746332
251,indirect,ж,Tsukhta,1923.0,50241.0,273.0,акушинский даргинский,1452.47998046875,0.2623017302502234
252,indirect,ж,Tsulikana,1923.0,31987.0,272.0,лакский,1746.52551269531,0.44166282617330216
253,indirect,ж,Tukita,1923.0,127.0,127.0,тукитинский,1939.52868652344,1.317537002849151
254,indirect,ж,Tukita,1923.0,127.0,127.0,тукитинский,1939.52868652344,1.317537002849151
255,indirect,ж,Upper Ubekimakhi,1923.0,14258.0,411.0,цудахарский даргинский,1246.0,0.8512794109394229
256,indirect,ж,Uragi,1923.0,10426.0,305.0,сирхинский даргинский,1538.4582519531198,1.3828534995208124
257,indirect,ж,Uri,1923.0,31987.0,311.0,лакский,1666.2683105468802,0.5205092246615429
258,indirect,ж,Urtsaki,1923.0,10426.0,504.0,сирхинский даргинский,1488.6706542968802,0.971008759517457
259,indirect,ж,Zilo,1923.0,4984.0,510.0,андийский,1202.365234375,1.1388356840978855
260,indirect,м,Balkhar,1923.0,31987.0,1195.0,лакский,1658.48388671875,0.4525738806572531
261,indirect,м,Bezhta,1923.0,1270.0,1058.0,бежтинский,1633.0812988281302,1.8290892163573798
262,indirect,м,Burkikhan,1923.0,7886.0,780.0,агульский,1917.4191894531305,1.2764977557958574
263,indirect,м,Chabanmakhi,1923.0,3723.0,179.0,кадарский даргинский,1020.0406494140601,1.4975341539679734
264,indirect,м,Chankurbe,1923.0,3723.0,663.6779661016949,кадарский даргинский,882.737670898437,0.8478516298835355
265,indirect,м,Chirag,1923.0,26628.78333333333,663.6779661016949,чирагский даргинский,2223.19091796875,1.179399426540857
266,indirect,м,Chuni,1923.0,117613.0,342.0,аварский,1375.91101074219,2.0849278032963072
267,indirect,м,Darvag,1923.0,16786.0,1223.0,азербайджанский,355.02688598632795,0.05337167449710697
268,indirect,м,Dorgeli,1923.0,47605.0,3162.0,кумыкский,667.396423339844,0.1121014661280504
